id,customer_id,email,full_name,age,gender,marital_status,family_size,dependent_count,occupation,occupation_type,monthly_income,kyc_status,city,kids_in_household,app_installed,existing_customer,credit_score,social_media_active,emails_sent,emails_opened,emails_clicked,topics_list,w1,w2,w3,created_at,updated_at
40aed8dc-e901-4e2f-b9a1-f8fd98fd7ac2,CUST2011,ananya.yadav5092@example.com,"Ananya Yadav",28,Female,Married,5,3,Electrician,Full-time,440076,Y,Chandigarh,2,N,N,589,N,5,3,1,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:11.19+00"
51076874-cf35-4ed4-9eba-e20f381ae097,CUST2014,riya.iyer7747@example.com,"Riya Iyer",45,Female,Married,6,0,Plumber,Part-time,298291,N,Lucknow,2,N,Y,432,Y,4,3,2,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:11.19+00"
024e44ed-cfe5-43fa-9441-c65b2d624865,CUST3050,meera.joshi4800@example.com,"Meera Joshi",38,Female,Married,4,2,Doctor,Full-time,136577,Y,Pune,1,N,N,650,Y,4,1,1,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.405+00"
d645add9-e0db-4eb5-a7bb-04312e509bf1,CUST3057,neha.verma4282@example.com,"Neha Verma",38,Female,Single,0,4,Student,Part-time,358354,Y,Gurugram,2,N,Y,833,N,4,3,1,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
70d458da-7882-44c8-a441-7af7fc329ab2,CUST3069,neha.gupta5430@example.com,"Neha Gupta",44,Female,Married,0,2,Engineer,Full-time,152541,N,Gurugram,3,N,Y,348,N,4,3,0,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
f808f30a-61ba-4dca-9d24-cd06aa7eef7e,CUST3051,arjun.mehta4768@example.com,"Arjun Mehta",53,Male,Single,0,4,Doctor,Full-time,61764,Y,Delhi,0,N,Y,715,N,4,3,1,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
b72c7579-d73e-4b7b-b167-62c61e1307b0,CUST3052,nandini.das673@example.com,"Nandini Das",30,Female,Married,3,2,Advocate,Full-time,373010,N,Pune,1,N,Y,343,N,4,3,2,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
85beae7f-c680-457f-a2ba-0413e81f3b77,CUST3053,manish.mehta2489@example.com,"Manish Mehta",71,Male,Single,2,0,Nurse,Part-time,478769,N,Pune,4,Y,Y,368,N,4,1,1,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
fdeacf73-f66d-40e6-8354-af770b99bdd0,CUST3054,shreya.chatterjee8537@example.com,"Shreya Chatterjee",25,Female,Single,0,4,Homemaker,Part-time,471188,Y,Visakhapatnam,4,Y,N,791,Y,4,2,2,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
3d7d39ea-0391-45cd-b006-6b8c179772f8,CUST3055,amit.yadav5831@example.com,"Amit Yadav",46,Male,Married,3,2,Pharmacist,Full-time,156784,Y,Bengaluru,4,Y,N,598,N,4,3,1,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
bfd0cc04-f666-4514-a018-fee7ba00217e,CUST3056,manish.iyer4080@example.com,"Manish Iyer",55,Male,Married,2,2,Teacher,Part-time,136394,N,Gurugram,1,Y,Y,372,N,4,3,3,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
90378a53-3e1a-4901-8400-c4e5f9e3c3d8,CUST0002,vikram.chatterjee8929@example.com,"Vikram Chatterjee",44,Male,Single,7,4,"Marketing Manager",Part-time,412833,Y,Nagpur,2,N,Y,520,N,15,6,5,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:43:53.745+00"
e7ae6764-5ab8-4232-9fdc-3c7b9cd99b30,CUST0003,vivaan.iyer1585@example.com,"Vivaan Iyer",40,Male,Married,4,0,"Operations Manager",Full-time,296137,Y,Bhopal,0,N,N,496,Y,15,8,2,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:43:53.745+00"
18a841d6-f79c-482a-a0b9-f2b53ae216ab,CUST0013,ankit.chatterjee1613@example.com,"Ankit Chatterjee",21,Male,Married,5,0,"Sales Executive",Part-time,114724,N,Chennai,3,Y,N,773,Y,15,11,2,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:43:53.745+00"
28578f25-8d75-4208-b020-84acacf10a3b,CUST3071,aadhya.yadav2667@example.com,"Aadhya Yadav",19,Female,Single,2,2,Engineer,Part-time,111701,Y,Visakhapatnam,0,Y,N,571,N,4,1,0,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
f4d73b64-562a-4ca7-9c46-9ca69ef62d34,CUST3072,harsh.singh6194@example.com,"Harsh Singh",33,Male,Married,1,2,Electrician,Full-time,153178,N,Bengaluru,2,Y,Y,636,N,4,2,2,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
cfbe1279-e2bf-4491-a495-39499efe2049,CUST0014,siddharth.joshi9017@example.com,"Siddharth Joshi",24,Male,Single,0,0,"Business Analyst",Part-time,102194,N,Coimbatore,3,Y,N,360,Y,15,12,4,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:43:53.745+00"
84345a71-1c60-4ef8-81fe-7a5188394935,CUST0029,ankit.mehta91@example.com,"Ankit Mehta",75,Male,Single,6,1,Engineer,Full-time,41328,Y,Hyderabad,3,Y,N,843,N,15,10,4,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:43:53.745+00"
eb226454-ace2-4408-8124-1b898c7aacb8,CUST0030,neha.yadav8271@example.com,"Neha Yadav",45,Female,Married,2,3,Designer,Full-time,409147,Y,Jaipur,4,N,Y,581,N,15,10,4,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:43:53.745+00"
fd1012a0-b906-4867-8420-a0d126e174a6,CUST0041,rahul.mehta3987@example.com,"Rahul Mehta",37,Male,Married,7,4,Electrician,Full-time,238086,N,Indore,3,N,N,557,Y,15,10,6,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:43:53.745+00"
e2501f6c-cc8f-4e65-b64f-faca2e88003e,CUST0042,vikram.patel5170@example.com,"Vikram Patel",25,Male,Single,3,1,"Operations Manager",Full-time,159965,N,Hyderabad,1,N,Y,669,Y,15,9,5,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:43:53.745+00"
1f7265f3-99d5-4ad6-9e6a-7833dfe7f8d3,CUST3074,simran.joshi9832@example.com,"Simran Joshi",63,Female,Married,2,1,Plumber,Full-time,356980,N,Bengaluru,1,Y,Y,367,Y,4,0,0,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
7978d382-457d-4e6d-9153-9da0add5cea5,CUST3075,shreya.reddy9424@example.com,"Shreya Reddy",47,Female,Single,1,0,"IT Professional",Full-time,483548,N,Ahmedabad,1,N,Y,398,Y,4,1,1,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
7ce9d224-e9d2-4169-b49b-10e7a56ec1e8,CUST3077,simran.chatterjee4766@example.com,"Simran Chatterjee",40,Female,Married,2,0,Teacher,Full-time,100411,Y,Surat,2,Y,Y,716,N,4,3,1,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
909a518b-c5dc-4f19-ade5-1141b8067777,CUST3078,neha.sharma7623@example.com,"Neha Sharma",53,Female,Married,2,2,Consultant,Part-time,385195,N,Lucknow,0,N,Y,349,Y,4,3,1,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
c3497094-bd16-494b-a16f-cbab10d16cd0,CUST3090,arjun.patel5693@example.com,"Arjun Patel",51,Male,Single,3,3,Electrician,Part-time,413489,Y,Delhi,0,N,Y,798,N,4,1,1,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
d8dc55bf-6fa0-4d5d-9a77-1b824e4897c2,CUST3091,priya.iyer2879@example.com,"Priya Iyer",23,Female,Single,6,3,Teacher,Part-time,233660,Y,Delhi,4,Y,Y,435,N,4,1,1,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
9a30c03a-d0a7-4223-83e6-a6be3b2c6945,CUST3092,siddharth.yadav6185@example.com,"Siddharth Yadav",45,Male,Married,5,1,Nurse,Part-time,449178,Y,Hyderabad,1,N,Y,402,Y,4,0,0,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
7471d4ad-e70c-4286-bc5a-6230ad55925e,CUST3096,meera.nair2623@example.com,"Meera Nair",38,Female,Single,6,2,Nurse,Full-time,468294,Y,Visakhapatnam,4,Y,Y,556,Y,4,2,1,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
4f035d87-a1c5-45c3-8d16-e9eb34253390,CUST3098,siddharth.singh7926@example.com,"Siddharth Singh",75,Male,Single,7,0,Entrepreneur,Full-time,453226,Y,Kolkata,2,Y,Y,624,Y,4,3,0,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:44:19.406+00"
37cb638a-bdb5-4f29-b0f9-c95cb3f0a304,CUST0044,sneha.gupta842@example.com,"Sneha Gupta",34,Female,Married,1,0,Nurse,Full-time,53840,Y,Chennai,1,N,Y,554,Y,15,9,5,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:43:53.745+00"
3c05885f-b56a-45fb-8579-5b0ad6d92423,CUST0063,tanvi.gupta4211@example.com,"Tanvi Gupta",70,Female,Married,4,2,Advocate,Full-time,54478,Y,Ahmedabad,3,N,Y,704,Y,15,7,1,{},0.5,0.5,0.5,"2026-03-04 21:33:02.013142+00","2026-03-07 12:43:53.745+00"
